city_code,CAGR,Geometric Mean Return,Annualized Volatility,Sharpe Ratio,City Name
31372,-2.40%,-2.54%,3.57%,-0.713,北栄町
31384,-1.16%,-1.72%,3.73%,-0.461,日吉津村
32201,-1.73%,-1.81%,2.56%,-0.707,松江市
32202,-1.98%,-2.12%,2.55%,-0.830,浜田市
32203,-2.53%,-2.43%,3.76%,-0.646,出雲市
32204,-2.65%,-2.66%,2.85%,-0.934,益田市
32205,-2.43%,-2.36%,2.18%,-1.082,大田市
32206,-2.17%,-1.78%,2.08%,-0.858,安来市
32207,-1.34%,-1.46%,2.77%,-0.528,江津市
32209,-0.84%,-0.78%,2.18%,-0.360,雲南市
32304,-1.62%,-1.53%,0.33%,-4.634,
32343,-1.88%,-1.96%,1.30%,-1.511,奥出雲町
32401,-2.63%,-2.26%,1.15%,-1.962,
32441,-4.41%,-4.34%,1.40%,-3.109,川本町
32501,-3.23%,-3.18%,1.65%,-1.927,津和野町
32505,-3.29%,-3.21%,2.21%,-1.451,吉賀町
32528,-3.57%,-3.75%,1.69%,-2.223,隠岐の島町
33101,1.98%,1.71%,2.36%,0.724,岡山市北区
33102,0.86%,0.67%,1.81%,0.368,岡山市中区
33103,-0.41%,-0.67%,1.31%,-0.509,岡山市東区
33104,-0.13%,-0.27%,1.30%,-0.207,岡山市南区
33201,-0.78%,-0.53%,0.35%,-1.489,
33202,-0.34%,-0.32%,1.64%,-0.193,倉敷市
33203,-2.16%,-2.08%,1.32%,-1.572,津山市
33204,-1.26%,-1.38%,1.67%,-0.824,玉野市
33205,-1.74%,-1.55%,1.43%,-1.084,笠岡市
33207,-3.26%,-3.32%,3.03%,-1.098,井原市
33208,-1.16%,-1.18%,2.28%,-0.517,総社市
33209,-1.86%,-1.89%,0.53%,-3.560,高梁市
33210,-2.19%,-2.14%,0.88%,-2.443,新見市
33211,-2.77%,-2.78%,0.84%,-3.307,備前市
33212,-2.63%,-2.35%,0.80%,-2.951,瀬戸内市
33213,-1.39%,-1.58%,1.47%,-1.072,赤磐市
33214,-2.32%,-2.33%,1.02%,-2.285,真庭市
33215,-0.14%,-0.28%,10.53%,-0.027,美作市
33216,-1.48%,-1.43%,1.17%,-1.221,浅口市
33346,-2.33%,-2.47%,1.27%,-1.949,和気町
33423,0.43%,0.38%,1.36%,0.283,早島町
33445,-1.08%,-1.07%,1.13%,-0.948,里庄町
33461,-1.41%,-1.42%,1.15%,-1.227,矢掛町
33606,-1.88%,-1.95%,1.83%,-1.066,鏡野町
33622,-3.14%,-3.08%,6.26%,-0.491,勝央町
33681,-3.73%,-3.72%,8.00%,-0.464,吉備中央町
34101,3.21%,3.43%,4.84%,0.709,広島市中区
34102,2.31%,2.18%,3.56%,0.614,広島市東区
34103,3.38%,3.25%,7.73%,0.420,広島市南区
34104,1.24%,1.25%,2.87%,0.434,広島市西区
34105,1.20%,1.09%,2.05%,0.534,広島市安佐南区
34106,-0.71%,-0.86%,2.13%,-0.403,広島市安佐北区
34107,-0.13%,-0.24%,1.91%,-0.126,広島市安芸区
34108,0.90%,0.75%,2.57%,0.293,広島市佐伯区
34202,-1.60%,-1.77%,3.04%,-0.583,呉市
34203,-3.77%,-3.76%,2.56%,-1.471,竹原市
34204,-2.84%,-2.89%,1.62%,-1.783,三原市
34205,-2.26%,-2.24%,1.66%,-1.353,尾道市
34207,-0.71%,-0.69%,2.14%,-0.323,福山市
34208,-3.13%,-3.12%,1.59%,-1.958,府中市
34209,-1.57%,-1.56%,3.07%,-0.509,三次市
34210,-3.03%,-2.97%,0.75%,-3.933,庄原市
34211,-1.93%,-1.92%,2.07%,-0.929,大竹市
34212,0.26%,0.31%,2.83%,0.110,東広島市
34213,0.17%,-0.06%,3.14%,-0.019,廿日市市
34214,-0.56%,-0.58%,11.00%,-0.053,安芸高田市
34215,-7.20%,-7.06%,2.30%,-3.073,江田島市
34302,1.60%,1.50%,3.18%,0.473,府中町
34304,1.76%,1.62%,2.50%,0.648,海田町
34307,-1.79%,-1.71%,1.32%,-1.301,熊野町
34309,-0.97%,-0.91%,1.58%,-0.577,坂町
34369,-2.36%,-2.45%,1.42%,-1.724,北広島町
34462,-3.14%,-3.16%,3.26%,-0.969,世羅町
35201,-1.39%,-1.35%,2.22%,-0.609,下関市
35202,-2.44%,-1.89%,3.48%,-0.543,宇部市
35203,-0.69%,-0.77%,4.26%,-0.181,山口市
35204,-3.80%,-3.81%,3.22%,-1.186,萩市
35206,-2.67%,-2.75%,3.39%,-0.811,防府市
35207,-1.42%,-1.54%,2.33%,-0.662,下松市
35208,-1.14%,-1.33%,2.13%,-0.623,岩国市
35210,-1.07%,-1.30%,2.64%,-0.492,光市
35211,-2.99%,-3.00%,4.74%,-0.633,長門市
35212,-2.95%,-2.93%,3.14%,-0.934,柳井市
35213,-3.45%,-3.40%,3.40%,-0.999,美祢市
35215,-2.11%,-2.28%,3.01%,-0.756,周南市
35216,-1.54%,-1.62%,2.63%,-0.616,山陽小野田市
35305,-1.37%,-0.99%,1.75%,-0.563,周防大島町
35321,-0.91%,-0.88%,1.83%,-0.480,和木町
35343,-1.93%,-2.00%,1.80%,-1.109,田布施町
35344,-1.59%,-1.54%,1.17%,-1.319,平生町
35462,N/A,N/A,N/A,N/A,
36201,-2.11%,-2.02%,2.99%,-0.676,徳島市
36202,-3.17%,-3.28%,4.34%,-0.755,鳴門市
36203,-3.03%,-2.97%,2.68%,-1.108,小松島市
36204,-2.09%,-2.28%,3.12%,-0.731,阿南市
36205,-1.88%,-2.06%,4.37%,-0.471,吉野川市
36207,-4.23%,-4.15%,2.18%,-1.905,美馬市
36208,-4.70%,-4.81%,2.69%,-1.786,三好市
36341,-2.86%,-2.96%,3.13%,-0.944,石井町
36383,-5.50%,-5.98%,2.99%,-1.999,牟岐町
36387,-5.92%,-5.98%,4.52%,-1.325,美波町
36401,-2.89%,-3.01%,3.21%,-0.938,松茂町
36402,-1.24%,-1.46%,2.38%,-0.613,北島町
36403,-0.02%,-0.38%,7.28%,-0.052,藍住町
36404,-7.35%,-7.20%,1.01%,-7.136,板野町
36468,-5.69%,-5.61%,6.35%,-0.883,つるぎ町
37201,-0.77%,-0.90%,3.00%,-0.300,高松市
37202,-2.28%,-2.54%,2.50%,-1.014,丸亀市
37203,-3.00%,-3.31%,2.66%,-1.245,坂出市
37204,-3.32%,-3.61%,3.27%,-1.102,善通寺市
37205,-2.44%,-2.54%,2.60%,-0.977,観音寺市
37206,-2.94%,-3.20%,2.46%,-1.300,さぬき市
37207,-2.98%,-3.25%,2.32%,-1.400,東かがわ市
37208,-1.75%,-1.89%,2.38%,-0.792,三豊市
37322,-2.90%,-2.95%,1.35%,-2.179,土庄町
37324,-2.53%,-2.67%,3.97%,-0.671,小豆島町
37341,-2.46%,-2.89%,2.88%,-1.001,三木町
37386,-2.07%,-2.24%,2.21%,-1.015,宇多津町
37387,-2.47%,-2.64%,1.97%,-1.343,綾川町
37403,-3.27%,-3.79%,3.32%,-1.143,琴平町
37404,-2.81%,-3.00%,2.18%,-1.374,多度津町
37406,-2.72%,-2.98%,2.54%,-1.172,まんのう町
38201,-0.06%,0.04%,1.66%,0.025,松山市
38202,-1.98%,-2.00%,1.82%,-1.096,今治市
38203,-2.14%,-1.98%,2.58%,-0.765,宇和島市
38204,-2.47%,-2.52%,4.10%,-0.615,八幡浜市
38205,-1.44%,-1.44%,0.99%,-1.453,新居浜市
38206,-1.86%,-1.89%,2.32%,-0.812,西条市
38207,-3.20%,-3.26%,1.24%,-2.627,大洲市
38210,-2.02%,-2.06%,1.72%,-1.194,伊予市
38213,-1.09%,-1.08%,1.75%,-0.618,四国中央市
38214,-2.22%,-1.91%,1.50%,-1.280,西予市
38215,-1.86%,-1.85%,1.41%,-1.316,東温市
38386,-3.49%,-3.51%,1.07%,-3.283,久万高原町
38401,-0.17%,0.44%,3.32%,0.133,松前町
38402,-0.90%,-0.97%,1.29%,-0.755,砥部町
38422,-2.56%,-2.32%,1.60%,-1.453,内子町
38488,-2.85%,-2.89%,0.95%,-3.031,鬼北町
38506,-2.65%,-2.59%,3.47%,-0.748,愛南町
39201,-2.69%,-2.76%,3.51%,-0.786,高知市
39202,-3.95%,-4.21%,3.36%,-1.253,室戸市
39203,-4.02%,-4.21%,3.66%,-1.151,安芸市
39204,-2.69%,-2.74%,3.18%,-0.862,南国市
39205,-3.21%,-3.33%,2.90%,-1.148,土佐市
39206,-3.95%,-4.18%,3.07%,-1.363,須崎市
39208,-4.24%,-4.37%,3.20%,-1.367,宿毛市
39209,-4.30%,-4.40%,2.90%,-1.515,土佐清水市
39210,-2.19%,-2.33%,3.95%,-0.590,四万十市
39211,-1.96%,-2.00%,2.45%,-0.817,香南市
39212,-1.79%,-1.90%,2.43%,-0.781,香美市
39301,-3.83%,-3.81%,2.75%,-1.389,東洋町
39303,-8.86%,-8.62%,1.87%,-4.616,田野町
39341,-2.72%,-2.85%,2.55%,-1.116,本山町
39363,-1.40%,-1.55%,5.84%,-0.266,土佐町
39386,-1.92%,-1.48%,2.77%,-0.535,いの町
39401,-3.19%,-3.32%,2.52%,-1.321,中土佐町
39402,-2.51%,-2.66%,2.90%,-0.917,佐川町
39403,-2.58%,-2.78%,3.17%,-0.875,越知町
39412,-2.13%,-2.25%,2.09%,-1.079,四万十町
39428,-2.24%,-1.84%,2.40%,-0.764,黒潮町
40101,-0.32%,-0.36%,1.38%,-0.260,北九州市門司区
40103,-0.91%,-1.09%,2.10%,-0.520,北九州市若松区
40105,-0.31%,-0.42%,1.97%,-0.211,北九州市戸畑区
40106,0.34%,0.13%,5.21%,0.025,北九州市小倉北区
40107,-0.49%,-0.60%,1.88%,-0.320,北九州市小倉南区
40108,-0.80%,-0.99%,2.65%,-0.373,北九州市八幡東区
40109,-0.65%,-0.87%,2.54%,-0.342,北九州市八幡西区
40131,3.52%,3.34%,5.68%,0.587,福岡市東区
40132,6.73%,7.77%,10.35%,0.751,福岡市博多区
40133,3.74%,4.75%,9.19%,0.517,福岡市中央区
40134,3.99%,4.01%,3.93%,1.020,福岡市南区
40135,2.44%,2.37%,4.70%,0.505,福岡市西区
40136,3.04%,3.04%,3.43%,0.885,福岡市城南区
40137,3.92%,3.85%,4.15%,0.927,福岡市早良区
40202,-2.38%,-2.45%,1.70%,-1.442,大牟田市
40203,0.27%,0.19%,3.17%,0.061,久留米市
40204,-1.79%,-1.95%,2.80%,-0.698,直方市
40205,-1.38%,-1.59%,3.41%,-0.467,飯塚市
40206,-2.07%,-2.29%,2.30%,-0.993,田川市
40207,-1.67%,-1.92%,2.94%,-0.653,柳川市
40210,-3.73%,-3.85%,5.92%,-0.651,八女市
40211,-0.10%,-0.33%,3.04%,-0.108,筑後市
40212,-2.15%,-2.45%,5.56%,-0.440,大川市
40213,-0.88%,-1.11%,2.37%,-0.469,行橋市
40214,-2.00%,-2.20%,1.42%,-1.550,豊前市
40215,-1.04%,-1.14%,1.35%,-0.848,中間市
40216,0.05%,-0.10%,4.67%,-0.021,小郡市
40217,2.85%,2.64%,4.56%,0.579,筑紫野市
40218,3.49%,3.31%,3.99%,0.829,春日市
40219,4.19%,3.91%,6.10%,0.641,大野城市
40220,0.48%,0.24%,3.11%,0.076,宗像市
40221,2.46%,2.30%,3.77%,0.611,太宰府市
40222,-3.38%,-3.34%,0.05%,-66.336,
40223,1.38%,1.14%,4.80%,0.238,古賀市
40224,1.05%,0.91%,5.12%,0.177,福津市
40226,-1.84%,-1.87%,1.89%,-0.993,宮若市
40227,-1.94%,-2.13%,1.31%,-1.626,嘉麻市
40228,-1.22%,-1.44%,5.11%,-0.281,朝倉市
40229,-1.39%,-1.91%,2.49%,-0.765,みやま市
40230,2.13%,1.70%,4.06%,0.420,糸島市
40231,3.62%,4.20%,2.19%,1.917,那珂川市
40305,0.44%,0.32%,1.69%,0.189,
40341,0.96%,0.82%,3.87%,0.212,宇美町
40342,2.06%,1.80%,4.19%,0.429,篠栗町
40343,1.90%,1.83%,4.42%,0.415,志免町
40344,2.30%,2.04%,5.21%,0.392,須恵町
40345,2.72%,2.48%,4.43%,0.561,新宮町
40348,-0.47%,-0.48%,3.99%,-0.120,久山町
40349,2.42%,2.22%,4.04%,0.549,粕屋町
40381,-2.41%,-2.52%,2.60%,-0.970,芦屋町
40382,-0.89%,-1.11%,2.41%,-0.459,水巻町
40383,-0.74%,-1.03%,2.83%,-0.363,岡垣町
40384,-0.92%,-1.10%,1.76%,-0.625,遠賀町
40401,-1.56%,-1.54%,0.93%,-1.660,小竹町
40402,-0.73%,-0.79%,1.00%,-0.786,鞍手町
40421,-2.13%,-2.29%,1.83%,-1.250,桂川町
40447,-1.02%,-1.16%,3.96%,-0.292,筑前町
40462,-4.43%,-4.56%,0.19%,-23.771,
40463,-2.93%,-2.57%,0.51%,-5.002,
40503,-0.82%,-0.94%,2.48%,-0.377,大刀洗町
40541,-3.77%,-3.11%,1.32%,-2.362,
40543,-3.48%,-3.47%,0.22%,-15.547,
40544,-1.91%,-2.03%,2.91%,-0.698,広川町
40602,-1.59%,-1.56%,0.69%,-2.258,添田町
40605,-1.37%,-1.43%,0.73%,-1.953,川崎町
40621,-0.77%,-1.07%,2.58%,-0.416,苅田町
40625,-1.57%,-1.52%,0.65%,-2.318,みやこ町
40642,-1.27%,-1.40%,1.24%,-1.129,吉富町
40647,-1.47%,-1.55%,0.62%,-2.510,築上町
41201,-0.27%,-0.45%,4.32%,-0.105,佐賀市
41202,-1.93%,-1.97%,3.14%,-0.627,唐津市
41203,0.04%,-0.12%,2.92%,-0.042,鳥栖市
41204,-3.13%,-3.09%,2.18%,-1.418,多久市
41205,-2.60%,-2.64%,2.41%,-1.094,伊万里市
41206,-2.03%,-2.07%,1.65%,-1.257,武雄市
41207,-2.81%,-2.77%,2.05%,-1.348,鹿島市
41208,-1.64%,-1.68%,1.69%,-0.994,小城市
41209,-3.10%,-3.20%,4.28%,-0.749,嬉野市
41210,-2.47%,-2.40%,1.24%,-1.944,神埼市
41327,-1.16%,-1.16%,1.98%,-0.587,吉野ヶ里町
41341,-0.87%,-0.98%,3.62%,-0.270,基山町
41345,-1.50%,-1.46%,2.33%,-0.626,上峰町
41346,-2.12%,-2.11%,1.72%,-1.226,みやき町
41401,-1.83%,-1.84%,1.32%,-1.403,有田町
41425,-2.12%,-2.07%,1.38%,-1.496,白石町
42201,1.95%,2.09%,2.84%,0.737,長崎市
42202,-0.69%,-0.87%,2.46%,-0.355,佐世保市
42203,-3.34%,-2.79%,4.06%,-0.687,島原市
42204,-1.26%,-1.40%,2.61%,-0.537,諫早市
42205,-1.09%,-1.16%,2.77%,-0.421,大村市
42207,-2.43%,-2.69%,2.23%,-1.204,平戸市
42208,-3.03%,-3.43%,3.31%,-1.036,松浦市
42209,0.54%,0.32%,17.20%,0.018,対馬市
42210,-3.34%,-3.27%,1.32%,-2.484,壱岐市
42211,-5.16%,-4.68%,2.69%,-1.742,五島市
42212,-2.34%,-2.30%,0.65%,-3.526,西海市
42213,-2.51%,-2.69%,0.99%,-2.722,雲仙市
42214,-3.68%,-3.73%,0.62%,-6.021,南島原市
42307,-0.77%,-0.95%,2.07%,-0.457,長与町
42308,0.45%,0.31%,3.09%,0.099,時津町
42321,-3.45%,-3.35%,2.45%,-1.370,東彼杵町
42322,-2.41%,-2.72%,3.13%,-0.869,川棚町
42323,-1.68%,-1.83%,1.79%,-1.020,波佐見町
42388,-6.90%,-7.01%,0.24%,-29.684,
42389,-5.07%,-5.05%,0.23%,-21.925,
42391,-0.85%,-1.07%,4.81%,-0.222,佐々町
42411,-4.04%,-4.14%,1.98%,-2.096,新上五島町
43101,4.14%,3.91%,4.72%,0.829,熊本市中央区
43102,1.18%,1.37%,1.79%,0.763,熊本市東区
43103,1.72%,1.53%,1.76%,0.871,熊本市西区
43104,2.77%,2.66%,2.80%,0.951,熊本市南区
43105,0.63%,0.69%,1.43%,0.486,熊本市北区
43201,-3.40%,-1.60%,4.29%,-0.372,
43202,-2.01%,-2.31%,2.15%,-1.072,八代市
43203,-4.47%,-4.69%,2.84%,-1.653,人吉市
43204,-0.66%,-0.83%,2.79%,-0.297,荒尾市
43205,-2.28%,-2.56%,2.40%,-1.066,水俣市
43206,-0.83%,-1.22%,5.33%,-0.229,玉名市
43208,-2.02%,-2.12%,1.74%,-1.222,山鹿市
43210,-2.24%,-2.39%,2.36%,-1.012,菊池市
43211,-0.43%,-0.65%,4.40%,-0.148,宇土市
43213,0.11%,-0.13%,1.74%,-0.076,宇城市
43214,-3.00%,-3.20%,2.37%,-1.351,阿蘇市
43215,-1.80%,-2.23%,3.83%,-0.582,天草市
43216,1.36%,1.23%,4.72%,0.261,合志市
43341,-4.80%,-4.17%,1.14%,-3.666,
43342,N/A,N/A,N/A,N/A,
43368,-2.75%,-2.80%,2.13%,-1.318,長洲町
43385,-3.71%,-4.11%,0.77%,-5.327,
43403,1.00%,0.62%,4.86%,0.128,大津町
43404,2.66%,2.36%,5.99%,0.395,菊陽町
43441,-1.62%,-1.87%,3.60%,-0.519,御船町
43442,1.00%,0.81%,2.38%,0.338,嘉島町
43443,-0.03%,-0.51%,4.25%,-0.120,益城町
43482,-1.96%,-2.02%,1.42%,-1.419,芦北町
44201,0.52%,0.57%,3.51%,0.162,大分市
44202,-1.31%,-1.28%,2.17%,-0.589,別府市
44203,-2.90%,-2.89%,5.09%,-0.567,中津市
44204,-1.73%,-1.82%,1.90%,-0.954,日田市
44205,-2.54%,-2.74%,1.81%,-1.517,佐伯市
44206,-2.48%,-2.39%,1.47%,-1.632,臼杵市
44207,-3.53%,-3.57%,5.00%,-0.715,津久見市
44208,-2.51%,-2.72%,2.06%,-1.320,竹田市
44209,-1.86%,-1.92%,1.31%,-1.463,豊後高田市
44210,-1.50%,-1.62%,2.45%,-0.662,杵築市
44211,-1.84%,-1.92%,2.33%,-0.826,宇佐市
44212,-1.61%,-1.83%,1.62%,-1.126,豊後大野市
44213,1.48%,1.25%,10.51%,0.119,由布市
44214,-1.95%,-2.05%,4.23%,-0.485,国東市
44341,-0.73%,-1.14%,5.51%,-0.206,日出町
44462,-1.99%,-2.03%,1.19%,-1.707,玖珠町
45201,-0.97%,-0.95%,1.80%,-0.531,宮崎市
45202,-1.67%,-1.71%,2.99%,-0.571,都城市
45203,-1.13%,-1.13%,1.26%,-0.903,延岡市
45204,-3.29%,-3.35%,2.72%,-1.229,日南市
45205,-2.84%,-2.80%,2.25%,-1.248,小林市
45206,-0.89%,-0.91%,0.89%,-1.028,日向市
45207,-3.27%,-3.51%,1.45%,-2.426,串間市
45208,-1.73%,-1.59%,1.38%,-1.154,西都市
45209,-3.27%,-3.24%,1.36%,-2.388,えびの市
45301,-2.10%,-1.89%,0.47%,-4.023,
45322,-4.17%,-3.74%,0.61%,-6.139,
45341,-0.46%,-0.51%,3.68%,-0.140,三股町
45361,-3.75%,-3.69%,0.47%,-7.779,高原町
45382,-1.65%,-1.81%,1.07%,-1.696,国富町
45383,-0.67%,-0.69%,0.67%,-1.027,綾町
45401,-2.71%,-2.69%,1.24%,-2.163,高鍋町
45402,-2.11%,-2.07%,1.01%,-2.060,新富町
45405,-1.65%,-1.64%,1.08%,-1.520,川南町
45406,-1.51%,-1.48%,0.47%,-3.148,都農町
45421,-0.94%,-0.90%,0.66%,-1.364,門川町
45441,-1.76%,-1.73%,1.90%,-0.913,高千穂町
46201,0.27%,0.32%,1.97%,0.162,鹿児島市
46203,-2.84%,-2.96%,2.75%,-1.074,鹿屋市
46204,-4.59%,-4.72%,2.30%,-2.054,枕崎市
46206,-4.60%,-4.76%,3.60%,-1.322,阿久根市
46208,-3.55%,-3.54%,1.99%,-1.781,出水市
46209,N/A,N/A,N/A,N/A,
46210,-3.22%,-3.21%,1.44%,-2.225,指宿市
46213,-2.92%,-2.98%,1.96%,-1.515,西之表市
46214,-3.47%,-3.61%,2.40%,-1.503,垂水市
46215,-2.22%,-2.42%,1.65%,-1.466,薩摩川内市
46216,-2.04%,-2.12%,2.87%,-0.740,日置市
46217,-4.84%,-4.85%,3.14%,-1.545,曽於市
46218,-2.70%,-2.96%,2.05%,-1.440,霧島市
46219,-3.64%,-3.62%,0.71%,-5.127,いちき串木野市
46220,-2.78%,-2.99%,1.67%,-1.788,南さつま市
46221,-3.35%,-2.89%,3.21%,-0.898,志布志市
46222,-0.61%,-0.80%,4.20%,-0.190,奄美市
46223,-3.40%,-3.42%,1.59%,-2.148,南九州市
46224,-3.21%,-3.43%,2.81%,-1.219,伊佐市
46225,-2.04%,-2.32%,1.76%,-1.321,姶良市
46392,-3.31%,-3.30%,0.89%,-3.703,さつま町
46421,N/A,N/A,N/A,N/A,
46441,-6.08%,-6.14%,0.37%,-16.652,
46442,-5.78%,-5.19%,1.52%,-3.412,
46443,-1.93%,-2.00%,0.12%,-16.469,
46452,-3.18%,-3.17%,6.03%,-0.526,湧水町
46468,-6.82%,-6.80%,11.58%,-0.587,大崎町
46490,-5.47%,-5.47%,2.31%,-2.366,錦江町
46491,-5.08%,-5.02%,1.83%,-2.738,南大隅町
46492,-4.50%,-4.56%,2.03%,-2.244,肝付町
46501,-4.93%,-4.77%,1.97%,-2.424,中種子町
46502,-4.11%,-3.98%,1.51%,-2.647,南種子町
46505,-4.59%,-4.44%,4.44%,-1.001,屋久島町
46525,-2.65%,-2.66%,2.50%,-1.063,瀬戸内町
46527,0.04%,-0.01%,2.99%,-0.002,龍郷町
46529,-1.53%,-1.50%,1.12%,-1.335,喜界町
46530,-1.84%,-1.84%,0.92%,-2.000,徳之島町
46531,-2.28%,-2.23%,0.84%,-2.646,天城町
46533,-3.70%,-3.64%,0.73%,-5.011,和泊町
46534,-3.48%,-3.40%,0.72%,-4.707,知名町
47201,3.49%,3.59%,6.54%,0.549,那覇市
47205,2.88%,2.59%,4.68%,0.554,宜野湾市
47207,1.15%,1.25%,3.82%,0.327,石垣市
47208,2.93%,2.72%,4.02%,0.677,浦添市
47209,-0.24%,-0.24%,0.97%,-0.252,名護市
47210,2.92%,2.56%,4.69%,0.545,糸満市
47211,2.16%,1.90%,3.73%,0.509,沖縄市
47212,2.87%,2.59%,4.67%,0.554,豊見城市
47213,1.56%,1.49%,2.56%,0.581,うるま市
47214,2.00%,2.54%,6.76%,0.375,宮古島市
47215,0.20%,0.02%,3.10%,0.006,南城市
47308,-0.27%,-0.37%,2.92%,-0.127,本部町
47311,-1.18%,-0.58%,1.53%,-0.380,恩納村
47324,2.87%,2.67%,5.37%,0.497,読谷村
47325,1.37%,1.25%,3.03%,0.412,嘉手納町
47326,3.85%,3.67%,4.83%,0.761,北谷町
47327,3.33%,2.91%,4.25%,0.686,北中城村
47328,8.20%,7.48%,37.92%,0.197,中城村
47329,2.54%,2.27%,3.38%,0.671,西原町
47348,1.71%,1.42%,4.17%,0.339,与那原町
47350,2.07%,1.85%,4.07%,0.456,南風原町
47362,2.06%,1.60%,6.62%,0.241,八重瀬町
