city_code,CAGR,Geometric Mean Return,Annualized Volatility,Sharpe Ratio,City Name
23423,-2.63%,-1.71%,1.63%,-1.047,
23424,-0.35%,-0.31%,1.00%,-0.307,大治町
23425,-0.17%,-0.14%,1.03%,-0.136,蟹江町
23427,0.68%,0.91%,3.09%,0.293,飛島村
23441,-1.19%,-1.13%,2.48%,-0.455,阿久比町
23442,0.48%,0.56%,3.92%,0.143,東浦町
23445,-4.07%,-4.20%,1.80%,-2.340,南知多町
23446,-3.49%,-3.42%,1.29%,-2.657,美浜町
23447,-1.06%,-1.01%,0.95%,-1.062,武豊町
23481,-2.61%,-1.96%,1.40%,-1.405,
23482,-2.43%,-2.10%,0.88%,-2.393,
23483,-2.78%,-2.44%,1.94%,-1.260,
23501,-0.02%,-0.01%,3.92%,-0.004,幸田町
23521,-2.13%,-0.75%,2.47%,-0.303,
23601,N/A,N/A,N/A,N/A,
23603,-1.46%,-1.44%,0.12%,-11.878,
23604,N/A,N/A,N/A,N/A,
24201,-0.76%,-0.79%,1.09%,-0.729,津市
24202,-0.23%,-0.22%,1.27%,-0.170,四日市市
24203,-0.88%,-0.76%,2.74%,-0.278,伊勢市
24204,-1.95%,-1.98%,2.16%,-0.917,松阪市
24205,-0.26%,-0.26%,1.51%,-0.170,桑名市
24207,-0.93%,-1.05%,1.19%,-0.878,鈴鹿市
24208,-1.65%,-1.79%,2.14%,-0.838,名張市
24209,-2.90%,-2.92%,0.82%,-3.576,尾鷲市
24210,-1.21%,-1.23%,2.52%,-0.489,亀山市
24211,-3.26%,-3.22%,1.02%,-3.149,鳥羽市
24212,-3.01%,-3.07%,1.03%,-2.985,熊野市
24214,-0.75%,-0.81%,2.33%,-0.347,いなべ市
24215,-3.70%,-3.69%,1.80%,-2.051,志摩市
24216,-2.52%,-2.54%,1.15%,-2.208,伊賀市
24303,-3.15%,-3.06%,1.29%,-2.369,木曽岬町
24324,-0.95%,-0.96%,0.82%,-1.179,東員町
24341,-0.80%,-0.79%,0.80%,-0.984,菰野町
24343,-0.20%,-0.70%,2.65%,-0.263,朝日町
24344,0.05%,0.20%,2.59%,0.078,川越町
24441,-2.07%,-2.07%,1.08%,-1.917,多気町
24442,-3.32%,-3.32%,2.51%,-1.324,明和町
24461,-2.01%,-2.00%,0.85%,-2.356,玉城町
24472,-3.47%,-3.40%,1.22%,-2.794,南伊勢町
24543,-3.61%,-3.56%,1.40%,-2.541,紀北町
24561,-2.83%,-2.81%,1.34%,-2.090,御浜町
25201,0.31%,0.63%,2.46%,0.255,大津市
25202,-0.83%,-0.74%,1.58%,-0.469,彦根市
25203,-2.57%,-2.35%,6.53%,-0.360,長浜市
25204,-0.84%,-0.60%,2.54%,-0.238,近江八幡市
25206,1.35%,1.87%,4.43%,0.422,草津市
25207,0.84%,1.09%,2.13%,0.512,守山市
25208,0.39%,0.65%,2.14%,0.304,栗東市
25209,-1.02%,-0.80%,1.54%,-0.517,甲賀市
25210,0.48%,0.65%,1.57%,0.414,野洲市
25211,-1.08%,-0.96%,1.09%,-0.879,湖南市
25212,-2.07%,-1.94%,1.64%,-1.186,高島市
25213,-0.25%,-0.06%,1.59%,-0.037,東近江市
25214,-0.71%,-0.44%,1.98%,-0.220,米原市
25381,-1.05%,-0.54%,2.86%,-0.188,
25383,-1.56%,-1.56%,1.46%,-1.065,日野町
25384,1.62%,1.55%,12.06%,0.128,竜王町
25425,0.59%,0.56%,3.91%,0.144,愛荘町
25441,-0.96%,-0.97%,0.55%,-1.755,豊郷町
25442,-1.93%,-1.84%,0.77%,-2.404,甲良町
25443,-2.23%,-2.11%,3.10%,-0.680,多賀町
25482,-3.30%,-2.09%,1.73%,-1.210,
25483,-1.01%,-0.58%,0.61%,-0.944,
25501,-0.72%,-0.48%,0.34%,-1.413,
25502,-1.07%,-0.71%,0.50%,-1.412,
25504,-1.54%,-0.77%,1.09%,-0.710,
26101,0.46%,0.69%,2.38%,0.290,京都市北区
26102,2.20%,2.29%,3.65%,0.628,京都市上京区
26103,0.73%,0.90%,2.48%,0.363,京都市左京区
26104,5.34%,5.59%,6.96%,0.803,京都市中京区
26105,6.22%,6.40%,11.17%,0.573,京都市東山区
26106,6.09%,6.57%,8.38%,0.784,京都市下京区
26107,5.50%,5.40%,11.35%,0.476,京都市南区
26108,0.37%,0.61%,1.82%,0.337,京都市右京区
26109,0.23%,0.32%,2.37%,0.135,京都市伏見区
26110,-0.70%,-0.60%,2.38%,-0.254,京都市山科区
26111,0.64%,1.00%,2.77%,0.363,京都市西京区
26201,-2.04%,-2.04%,1.93%,-1.060,福知山市
26202,-1.76%,-1.91%,3.28%,-0.582,舞鶴市
26203,-2.25%,-2.58%,3.11%,-0.831,綾部市
26204,-0.14%,0.07%,1.93%,0.035,宇治市
26205,-2.31%,-2.47%,1.84%,-1.337,宮津市
26206,-0.52%,-0.52%,2.69%,-0.193,亀岡市
26207,-0.90%,-0.72%,3.06%,-0.234,城陽市
26208,0.92%,1.09%,2.03%,0.538,向日市
26209,0.55%,0.75%,1.55%,0.482,長岡京市
26210,-0.80%,-0.71%,1.21%,-0.589,八幡市
26211,-0.50%,-0.22%,1.75%,-0.128,京田辺市
26212,-3.19%,-3.24%,1.34%,-2.419,京丹後市
26213,-2.23%,-1.90%,2.78%,-0.683,南丹市
26214,-0.39%,-0.47%,2.00%,-0.235,木津川市
26303,-0.32%,-0.07%,1.53%,-0.049,大山崎町
26322,0.21%,0.33%,4.06%,0.081,久御山町
26343,-2.12%,-2.08%,0.90%,-2.301,井手町
26344,-1.25%,-1.38%,1.52%,-0.907,宇治田原町
26366,-0.70%,-0.61%,0.93%,-0.650,精華町
26407,-4.82%,-4.73%,3.94%,-1.199,京丹波町
26465,-2.25%,-2.32%,2.82%,-0.823,与謝野町
27102,0.81%,1.14%,3.49%,0.326,大阪市都島区
27103,3.63%,3.90%,6.63%,0.587,大阪市福島区
27104,-0.36%,0.02%,2.82%,0.007,大阪市此花区
27106,4.74%,5.41%,9.37%,0.578,大阪市西区
27107,0.09%,0.31%,2.49%,0.126,大阪市港区
27108,-0.60%,-0.47%,1.91%,-0.244,大阪市大正区
27109,1.71%,2.11%,4.54%,0.464,大阪市天王寺区
27111,3.30%,3.47%,8.16%,0.425,大阪市浪速区
27113,-0.87%,-0.70%,1.96%,-0.356,大阪市西淀川区
27114,0.07%,0.20%,2.63%,0.076,大阪市東淀川区
27115,0.18%,0.35%,2.67%,0.130,大阪市東成区
27116,-0.82%,-0.64%,2.14%,-0.300,大阪市生野区
27117,-0.78%,-0.63%,3.33%,-0.188,大阪市旭区
27118,0.24%,0.37%,3.03%,0.121,大阪市城東区
27119,3.37%,3.49%,9.50%,0.367,大阪市阿倍野区
27120,-0.09%,0.10%,2.49%,0.040,大阪市住吉区
27121,-0.57%,-0.35%,1.96%,-0.179,大阪市東住吉区
27122,-0.54%,-0.43%,3.29%,-0.130,大阪市西成区
27123,1.56%,1.82%,5.29%,0.344,大阪市淀川区
27124,-0.29%,-0.05%,3.28%,-0.016,大阪市鶴見区
27125,-0.62%,-0.32%,2.94%,-0.109,大阪市住之江区
27126,-1.09%,-0.90%,1.93%,-0.464,大阪市平野区
27127,5.06%,6.13%,11.57%,0.530,大阪市北区
27128,4.04%,5.15%,13.81%,0.373,大阪市中央区
27141,0.75%,1.09%,3.39%,0.323,堺市堺区
27142,-0.27%,-0.08%,1.95%,-0.040,堺市中区
27143,0.07%,0.27%,2.57%,0.106,堺市東区
27144,0.12%,0.31%,2.85%,0.109,堺市西区
27145,-0.64%,-0.38%,2.50%,-0.151,堺市南区
27146,2.14%,2.26%,3.38%,0.669,堺市北区
27147,-0.76%,-0.72%,2.97%,-0.241,堺市美原区
27202,-0.40%,-0.20%,1.40%,-0.142,岸和田市
27203,0.86%,1.18%,2.95%,0.399,豊中市
27204,0.67%,0.93%,3.41%,0.272,池田市
27205,1.18%,1.54%,3.94%,0.391,吹田市
27206,-0.37%,-0.14%,1.56%,-0.092,泉大津市
27207,0.16%,0.45%,2.30%,0.198,高槻市
27208,-0.61%,-0.55%,1.00%,-0.551,貝塚市
27209,-0.78%,-0.54%,2.75%,-0.197,守口市
27210,0.31%,0.45%,2.41%,0.185,枚方市
27211,0.54%,0.83%,2.39%,0.346,茨木市
27212,-0.59%,-0.47%,1.41%,-0.335,八尾市
27213,-0.07%,-0.02%,1.97%,-0.010,泉佐野市
27214,-0.61%,-0.58%,2.24%,-0.257,富田林市
27215,-0.54%,-0.44%,2.41%,-0.182,寝屋川市
27216,-0.77%,-0.67%,3.30%,-0.203,河内長野市
27217,-1.19%,-0.93%,2.05%,-0.454,松原市
27218,-0.63%,-0.37%,2.11%,-0.177,大東市
27219,-0.16%,0.01%,1.61%,0.005,和泉市
27220,0.87%,1.18%,3.30%,0.359,箕面市
27221,-0.89%,-0.64%,1.85%,-0.347,柏原市
27222,-1.30%,-1.26%,1.60%,-0.790,羽曳野市
27223,-1.19%,-1.02%,2.19%,-0.464,門真市
27224,-0.30%,-0.00%,2.13%,-0.002,摂津市
27225,0.44%,0.68%,1.56%,0.437,高石市
